ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.51143893,0.82097288,22.177404,20.683872,20.107742,19.844831,20.379583,21.804823,20.244812,19.728441,19.243122,19.893177,15.883741,15.283091,14.914466,14.341722,14.031795
1.51345136,0.82508811,22.317404,21.181118,20.949051,20.589725,20.860201,22.283157,21.062336,20.791922,20.043989,20.776245,18.488367,17.442472,17.035309,16.449057,17.007267
1.51031363,0.81679891,24.263868,23.156649,22.110191,21.176737,20.671803,24.520878,23.129969,22.290503,20.924122,21.217587,26.274275,21.516636,21.599045,19.207355,23.184746
1.50922759,0.82756592,24.342512,24.310951,24.326513,22.147993,22.986851,24.07398,24.203146,24.223507,21.997292,23.647854,23.633165,22.905609,23.08947,21.153105,24.064713
1.50917706,0.79564166,19.634047,18.653969,18.38615,18.214727,18.200615,19.966795,18.982656,18.693365,18.557178,18.545441,19.637632,18.693436,18.404322,18.271301,18.226295
1.51056212,0.73390154,19.142675,17.345873,16.630922,16.336397,16.222382,19.464689,17.66069,16.956659,16.69331,16.565186,19.142408,17.359535,16.658796,16.39834,16.247425
1.51054971,0.73391156,19.142696,17.346119,16.630695,16.33663,16.22336,19.46096,17.660767,16.956028,16.694094,16.567198,19.173,17.364765,16.658854,16.400595,16.254107
1.510532,0.77946834,20.908926,19.934555,19.503443,19.307346,19.312334,21.215502,20.281717,19.836966,19.681786,19.681692,20.947887,20.000355,19.565985,19.423655,19.391785
1.510532,0.77946834,20.908405,19.934944,19.502886,19.307392,19.311367,21.21567,20.27742,19.835844,19.682053,19.676033,20.969769,20.0075,19.562984,19.421671,19.375385
1.51070707,0.77828061,25.306059,25.041159,23.932917,21.710773,21.110781,24.550348,25.014931,23.885426,22.132849,22.359043,25.082584,25.142639,24.78248,21.960835,23.673981
1.50746537,0.7495374,22.063366,21.782776,21.3514,20.983318,20.915054,22.4139,22.13604,21.723324,21.259071,21.241615,22.4058,21.840717,21.473324,20.861649,21.135775
1.50856136,0.73735051,22.31991,24.527451,24.571606,25.296331,21.786596,22.517096,24.999037,24.766247,24.760923,22.04677,21.056643,28.277727,28.740686,26.985994,25.236128
1.50975877,0.72994474,22.175997,21.553699,21.210796,20.940277,20.532116,22.38072,21.892872,21.582516,21.383335,20.960342,22.152578,21.68153,21.397495,21.255949,20.729837
1.50975877,0.72994475,22.19183,21.553904,21.213219,20.941061,20.549614,22.377394,21.882597,21.581882,21.372643,20.966797,22.155764,21.689735,21.403248,21.256229,20.634521
