ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.71964847,0.24715783,24.088123,24.424885,23.674162,22.350338,21.359417,23.940432,24.852846,24.116091,22.466988,21.597832,22.171188,23.140356,27.574131,24.2719,21.108541
1.72291446,0.08944309,16.776411,14.177634,12.771253,11.709332,11.198202,17.062473,14.52386,15.044772,15.183416,12.733773,16.69128,14.197711,12.778393,11.718465,11.206984
1.72413166,0.09145297,23.193167,24.110064,22.608784,20.715033,23.129864,23.176384,23.10594,21.230055,19.993444,20.596434,23.024591,24.0641,22.316465,20.552414,21.338488
1.71933427,0.08572708,22.9664,24.05158,23.069239,21.980877,22.671057,23.424858,24.173447,23.369453,21.673075,22.154598,23.12459,22.988077,22.511002,20.354761,20.656887
1.72093336,0.08801468,24.306873,23.462715,22.305866,21.257233,20.740622,23.673092,23.044909,21.590597,20.099237,20.236691,22.922174,22.528318,21.986597,20.698214,19.839437
1.7191562,0.09495303,23.712721,24.66205,24.047705,22.095015,21.647654,23.805006,24.644438,24.450768,21.848644,21.923073,27.125793,27.15233,27.793566,20.422464,19.679401
1.72255909,0.0952061,23.061966,25.407343,23.516058,22.16041,24.040915,24.11446,25.987446,24.074966,21.999002,22.57375,22.928463,24.772289,23.741871,21.269152,24.784245
1.71873789,0.09220438,23.57937,24.861835,22.634724,22.054226,21.675678,23.470327,25.019545,22.683456,21.609623,21.044945,22.291269,25.815708,21.847073,20.421345,20.223408
1.72330507,0.09378868,24.742907,24.941046,24.085997,22.247162,23.335487,24.057127,25.349764,24.333427,21.79113,22.622158,24.643257,25.017021,24.044434,23.92417,23.12425
1.72099453,0.09465131,23.319929,24.282169,23.243803,22.271425,23.500072,22.955029,24.850891,23.185518,21.899065,23.764719,22.085705,24.521004,22.554537,21.485687,24.516859
1.72213821,0.02659743,21.092297,20.58938,20.438448,20.233992,19.762869,21.477221,20.927475,20.765739,20.528847,20.229723,21.224586,20.637575,20.435709,20.156067,19.845667
1.72292328,0.15931258,21.276812,20.512674,20.189632,20.037958,19.852398,21.637732,20.858776,20.514189,20.340914,20.283695,21.524734,20.599167,20.170391,19.940466,20.104361
1.7252366,9.31198E-3,21.455423,20.319996,19.985016,19.787836,19.724596,21.749184,20.630184,20.322594,20.071507,20.110723,29.478367,19.922867,19.317757,19.721994,18.443066
1.72170993,0.18892974,24.365284,25.42314,25.376038,21.564104,22.892447,24.637554,25.481831,24.79991,22.374598,22.634241,22.065603,26.341928,25.990435,21.535101,22.343632
1.71889613,0.2097638,23.485802,26.233351,25.063059,25.041334,20.101917,25.133587,26.167852,24.729803,24.641653,20.491713,25.61216,26.79302,23.352936,27.158762,20.789736
1.72023396,0.20461468,23.075666,23.180113,22.775267,22.833117,21.336044,22.591902,23.382027,22.596001,22.204449,21.224426,21.193876,23.56497,22.282682,21.897392,22.130585
1.72451897,0.45396839,18.676378,17.371761,16.926146,16.766973,16.676809,18.966158,17.693943,17.270563,17.108995,17.03059,18.634954,17.401836,16.96117,16.805229,16.743162
1.72451205,0.45396098,18.675053,17.37199,16.926634,16.766645,16.674822,18.965548,17.69412,17.271566,17.10815,17.02424,18.64794,17.402769,16.96447,16.806335,16.74725
1.72533549,0.37439181,22.589647,23.522945,22.366653,22.834837,22.046722,22.672337,23.27891,22.402775,22.223221,22.094145,21.93564,22.235725,21.537237,24.172415,26.008717
1.72566258,0.37461501,23.647686,23.310064,23.10478,21.99552,21.720705,22.869331,23.19532,22.450916,22.024115,21.549791,22.053162,22.309387,22.312376,22.781572,25.694633
1.72531819,0.37438497,22.987602,24.133223,22.598854,23.653481,22.531195,22.799614,23.349709,22.44845,22.326956,22.246416,25.637564,24.07658,22.144793,25.961931,24.79089
1.7261466,0.33806278,22.142401,21.592697,20.786104,20.642149,20.068359,22.406986,21.653627,20.799002,20.516569,20.036133,22.020876,21.305315,20.373072,20.071907,19.507235
1.7261658,0.26896209,22.891975,23.197342,25.068285,24.660601,22.804193,22.831217,23.666246,26.184185,25.225906,23.230764,21.05138,24.068314,26.639133,26.148708,25.082127
1.72662355,0.23650939,24.347647,22.940411,22.17749,21.756624,20.935495,24.214754,23.300301,22.239599,21.572166,20.978821,23.148306,22.255344,21.718273,21.487694,22.189732
1.72677376,0.26493283,24.377819,23.086159,22.486361,22.335268,21.289667,23.557116,23.212261,22.681993,22.449976,21.294619,22.982512,22.556334,22.315424,21.954721,20.591803
1.7267257,0.39661277,23.038382,23.167412,22.237776,21.788254,20.859182,23.25351,23.484142,22.508244,21.867125,20.955044,24.049183,23.179207,22.417454,21.41605,20.701387
1.72709834,0.38367869,23.840849,23.266029,22.081312,21.578806,21.240301,24.490133,23.073664,21.92458,21.362038,21.178808,21.756142,23.324825,21.160496,20.897095,21.102919
1.72709834,0.38367869,23.285,23.155294,22.081312,21.578756,21.288868,24.404646,23.063395,21.924484,21.366802,21.190428,21.75576,23.324825,21.160496,20.897095,21.103382
1.726772,0.3570406,25.137602,24.081106,22.948795,22.203703,21.494095,24.323507,24.200874,22.612587,22.124702,21.105379,22.212006,23.265684,23.253061,21.785675,20.321081
1.72698876,0.26669647,24.261862,24.49044,23.398178,21.72319,20.719711,25.037529,24.528227,24.147488,22.071671,21.594412,24.64357,25.094318,24.849781,21.309238,22.202171
1.72578814,0.08570728,24.854265,24.962101,25.050541,21.997852,22.928917,25.07794,24.862186,24.876656,21.66123,22.392227,23.990946,25.572296,24.411865,20.924686,22.697096
1.72647559,0.09310882,26.073212,24.551693,24.040813,22.209932,23.811672,25.636158,24.414953,23.596413,22.25556,22.687162,26.128361,24.187733,23.375502,22.097225,22.261307
1.7252574,0.09304041,24.258789,25.649939,22.644873,22.131229,22.057981,25.090345,24.762011,22.657335,21.140995,22.304939,25.465611,23.749735,21.80732,20.831793,22.70188
1.72589423,0.09409176,25.942419,24.327915,22.663921,22.463961,21.244728,24.821684,24.655323,22.698389,21.576611,20.86237,24.620407,23.973452,21.90061,20.506987,19.972263
1.72536018,0.08968287,24.631775,23.03299,22.485636,21.443554,21.705576,24.013988,23.264784,21.77853,20.182878,20.171852,22.739872,22.738779,21.576315,20.669626,19.880644
1.72615542,0.07766413,25.936256,23.827066,24.218836,21.834764,21.86977,26.258123,24.006624,24.385391,21.887243,21.850073,26.960814,24.240831,22.806259,20.994177,25.601679
1.72731454,0.43428932,21.36459,19.75914,19.191448,18.934826,18.739426,21.914152,20.063114,19.522436,19.268642,19.098568,21.996567,19.774559,19.228226,18.97188,18.778788
1.72621171,0.38768884,21.774122,26.396082,25.359125,24.781418,22.883101,22.190512,26.080109,25.165377,24.507231,21.73123,21.218458,27.759808,26.883257,27.167368,21.212976
1.72258444,0.43872783,19.825922,17.789728,17.034576,16.744925,16.575142,20.077431,18.111977,17.374273,17.082708,16.91374,19.774017,17.822977,17.06707,16.783085,16.616497
1.72259434,0.43873824,19.821344,17.789471,17.034155,16.745056,16.577341,20.071651,18.111364,17.373104,17.082718,16.917328,19.728409,17.819633,17.062237,16.780525,16.613295
1.72112065,0.46182021,23.043062,20.537735,19.479937,19.002832,18.717915,22.774549,20.867573,19.8078,19.348866,19.055353,21.816158,20.543715,19.472879,19.022001,18.785713
1.72186104,0.49188856,25.560427,24.750935,23.358988,22.999737,20.711395,25.390062,24.608461,24.074148,22.789915,21.590187,25.483276,24.342669,24.587919,22.622036,21.460588
1.72225796,0.49055421,23.017433,22.41857,21.626005,21.08741,20.245169,22.933962,22.249245,21.170347,20.74295,20.140146,21.570961,21.551289,20.548742,19.856586,19.375113
1.72190991,0.48925271,23.574579,20.724625,19.334238,18.85026,18.362169,22.905869,20.681177,19.276348,18.715296,18.310186,20.794537,19.625168,18.231037,17.776814,17.390324
1.71934496,0.48904959,21.152346,18.79487,17.415167,16.660179,16.230932,21.36315,19.111809,17.753988,16.99946,16.575838,20.896627,18.788843,17.428591,16.684046,16.282837
1.71934496,0.48904959,21.163521,18.795282,17.414833,16.660131,16.231535,21.358561,19.110876,17.754023,16.999714,16.575754,18.598248,18.254509,16.915318,16.195887,15.901549
1.71934771,0.48905772,21.185331,18.794821,17.414515,16.66033,16.232159,21.38892,19.11042,17.753508,17.000475,16.579254,18.669744,18.198629,16.853664,16.308228,16.366604
1.71904857,0.4144601,21.697062,19.276915,17.88662,17.247677,16.862827,22.122679,19.613102,18.223154,17.587906,17.235291,22.016268,19.321867,17.925375,17.286018,16.952648
1.71906109,0.41446529,21.737572,19.275522,17.885653,17.247585,16.864906,22.08548,19.607613,18.220362,17.588663,17.240606,12.197435,12.347701,12.166044,11.722272,10.938046
1.72438167,0.3188941,24.149172,23.10763,22.400925,22.101088,22.906601,23.975483,23.546379,22.625282,22.255035,22.317108,23.401596,23.058439,22.372765,21.58618,21.700918
1.72412625,0.2513135,23.114483,21.941389,21.588499,21.274685,21.555962,23.599812,22.229959,21.921009,21.562138,21.347216,23.360537,21.981874,21.615147,21.404026,21.084639
1.72311958,0.33656699,22.87138,22.78404,21.830891,21.734324,21.334641,23.462767,22.834166,21.747849,21.583687,20.670082,22.257463,22.099997,21.018087,21.151695,19.394121
1.72270938,0.22368016,25.82493,23.16091,23.483351,22.13493,21.866888,25.262371,23.551525,23.643072,22.652098,21.870718,21.618938,23.197081,22.588087,21.987606,20.632545
1.50832671,2.33401E-3,17.475046,16.105276,15.229495,15.002449,14.95614,17.808294,16.189281,15.561006,15.351852,15.273858,17.52207,15.864162,15.258411,15.055014,14.964678
1.50830955,2.34307E-3,17.474976,16.105379,15.229797,15.00259,14.95642,17.807587,16.189163,15.561236,15.352185,15.27467,17.521902,15.86475,15.258835,15.05623,14.967728
1.50830955,2.34307E-3,17.474979,16.104601,15.22937,15.002175,14.956413,17.80864,16.187244,15.560681,15.349767,15.273648,17.521481,15.866552,15.261346,15.056979,14.968813
1.5085267,0.34743136,21.353277,18.60532,17.133686,15.698985,14.966662,21.367714,18.913202,17.483702,16.07123,15.320445,20.743681,18.637522,17.193985,15.785617,15.024987
1.50851529,0.34743395,21.328184,18.605318,17.133249,15.699075,14.967145,21.353561,18.9132,17.483112,16.071535,15.321913,20.944614,18.639372,17.193136,15.78802,15.029581
1.509745,0.33575707,21.705843,22.238356,18.734911,18.640503,21.202539,21.387476,20.960556,19.070498,19.037731,19.8046,20.749842,19.524286,18.763781,18.670668,18.732498
1.50974497,0.33575704,20.755482,19.266096,18.73534,18.640104,18.587393,21.378273,20.914745,19.070925,19.027672,19.774973,20.743578,19.52524,18.764057,18.670856,18.726097
1.51093648,0.41672843,24.556499,21.926542,20.551157,19.582897,18.933426,24.814127,22.27042,20.896566,19.931404,19.23921,24.324787,22.09482,20.596508,19.610147,18.946344
1.50744885,0.32112544,23.090605,22.919075,21.73768,20.992479,21.010708,22.820202,22.842161,21.733679,20.932632,20.588108,21.609476,21.940516,21.017447,20.606518,19.676338
1.50757148,0.36370482,23.705658,22.001663,21.563141,21.351858,21.262642,24.618528,22.331289,21.914782,21.676991,21.690239,24.546391,22.065947,21.747423,21.397379,22.751734
1.50757914,0.39826397,24.272659,23.160452,22.36311,21.814114,21.357763,24.070541,23.311605,22.344524,21.821346,21.549503,19.535326,22.755085,21.862946,21.412123,20.540176
1.50795369,0.2643707,24.041853,23.144442,21.557726,20.301369,19.79179,24.262907,23.611588,21.81669,20.700411,20.194557,23.422138,23.250101,21.454271,20.464926,20.140444
1.50861477,0.20660897,23.941717,23.223717,21.778833,20.996098,20.638565,23.565298,23.651358,21.92061,21.082935,20.725019,22.759182,23.047314,21.176579,20.222103,20.836723
1.508803,0.2174763,22.609875,22.920862,22.10931,21.80312,21.097878,22.629375,23.060745,22.252867,21.829899,21.302734,21.95149,22.216122,21.801828,21.33584,21.13846
1.50884194,0.33858855,25.022366,22.660963,21.747198,21.410187,21.048084,24.096697,22.597393,21.904993,21.438194,21.591408,22.466713,22.093044,21.253996,20.658136,21.99667
1.50921592,0.29452732,22.576506,21.918482,21.427406,21.27047,21.329409,23.09329,22.114779,21.710402,21.696512,21.645031,23.504364,21.668962,20.980364,21.270376,21.446365
1.50927876,0.24868789,23.031128,22.140959,21.617352,21.413677,21.181648,23.037106,22.300589,22.047535,21.84116,21.716236,22.526501,21.889244,21.990986,21.497623,21.45849
1.50927875,0.24868787,22.709576,22.131054,21.612503,21.415575,21.196085,22.983955,22.274448,22.036081,21.849188,21.646591,22.497446,21.885124,21.985331,21.488323,21.499983
1.50766388,0.24879589,24.531143,24.527212,22.876408,22.593973,22.456549,23.916445,23.887297,22.919552,23.492455,22.65951,24.316683,23.135096,22.55374,22.531458,22.656687
1.509343,0.38144795,23.925325,22.780073,22.146236,21.816435,21.985886,23.981392,22.981441,22.265591,22.011593,21.367321,23.65807,22.690643,22.050301,21.900452,20.597748
1.50934304,0.381448,23.7111,22.775318,22.143476,21.809986,21.9851,24.154583,23.009239,22.270092,22.008242,21.275738,23.605463,22.633013,22.157639,21.823837,20.542181
1.50884515,0.38260292,23.413883,22.722715,22.430218,22.132654,20.966192,23.444004,22.959862,22.531937,22.197786,22.099644,24.153984,22.739429,22.356783,22.066662,23.926117
1.50933838,0.23663868,24.949905,23.308334,24.497446,24.799004,23.369812,25.034069,23.576862,24.308489,24.268538,23.277227,24.667732,23.502605,23.44902,24.362608,23.90999
1.50934629,0.33109673,23.23778,23.127129,22.422264,22.98584,22.527292,24.062517,23.212137,22.750126,23.293175,23.291634,23.890802,22.677896,22.360138,24.598057,23.057358
1.51013879,0.40799618,22.793156,22.223938,21.546503,21.144377,20.765791,22.960325,22.143532,21.416998,20.989603,20.670338,24.603697,21.0847,20.380445,20.201574,18.751862
1.51030529,0.39750797,25.329353,23.170343,21.74131,20.809509,20.120104,24.920313,23.346825,21.731834,20.682707,20.176382,23.325727,22.36076,21.127777,20.059305,19.612434
1.51115064,0.21336225,24.227894,22.913921,21.45363,20.724531,20.33152,23.736368,23.178694,21.831264,21.163912,20.343851,22.815054,22.953815,21.58086,20.934193,19.958189
1.50842952,0.27143493,23.717264,23.956173,21.765875,21.43018,20.724312,24.628267,23.859024,21.950689,21.556459,20.706083,24.08857,24.126123,21.587326,21.23794,19.904501
1.5105577,0.22063155,25.61528,24.32309,24.137621,22.287134,22.797382,24.174765,24.568113,24.464521,22.565506,23.336401,28.403913,22.516405,25.39019,23.330515,24.102797
1.51025146,0.29932347,25.078745,25.267447,23.864399,24.806187,22.97366,24.28697,25.252308,23.158781,23.831947,22.159998,23.594767,22.935696,20.934622,21.88591,22.84631
1.50830807,2.32035E-3,17.450226,15.832999,15.213396,15.00398,14.891045,17.774279,16.17065,15.558355,15.357054,15.272317,17.494169,15.882051,15.262412,15.061385,14.983598
1.5082976,2.32122E-3,17.450203,15.832805,15.213161,15.003674,14.891418,17.774612,16.170073,15.557382,15.355952,15.272863,17.49481,15.881026,15.263095,15.060663,14.987103
1.5082976,2.32122E-3,17.450142,15.832634,15.213016,15.00353,14.8908,17.773657,16.169865,15.556874,15.356189,15.273463,17.497307,15.882223,15.263166,15.061033,14.987556
1.51015332,2.94387E-3,24.089716,21.409483,20.206911,19.729259,19.150541,23.118147,21.383062,20.086443,19.566305,19.133965,21.343166,20.737579,19.246729,18.681971,18.445213
1.50834967,4.61337E-3,23.36002,22.770859,21.867065,21.23316,20.601221,23.977394,22.952642,21.890871,21.307775,21.052275,24.888062,22.380796,21.574593,20.816723,20.168972
1.51012728,0.12149779,23.226835,23.19183,7.937614,22.301521,23.17922,23.606895,22.674366,7.938001,21.580763,22.136103,23.573742,21.713774,7.937699,20.707655,21.071112
1.50839944,0.11723334,16.92292,15.319085,7.936938,7.610641,14.202463,17.251213,15.658553,7.93757,7.611068,14.560901,16.942354,15.279617,7.935341,7.610252,14.031238
1.51034426,0.12137941,23.453566,24.514618,17.334608,23.354445,24.033384,24.925455,23.933125,15.849858,23.111992,23.973728,26.842216,25.365702,15.003525,22.348162,24.993843
1.50839207,0.11724908,16.921968,15.319188,14.64723,7.611889,14.202379,17.251049,15.658471,14.979097,15.914106,14.560965,16.974669,15.371532,14.684402,7.612015,14.26692
1.50827487,0.12096493,22.178383,19.849421,18.389103,17.629969,16.666477,22.417433,20.174269,18.717947,17.11931,17.025623,21.863789,19.870457,18.409481,16.727634,16.719963
1.51144904,0.1595932,22.543795,21.919727,20.469591,19.408865,18.80517,23.265478,22.438879,20.836056,19.768303,19.206736,23.427431,22.300745,20.551601,19.46258,18.981005
1.50880464,0.17056723,23.181337,22.33983,21.31724,21.089861,20.629307,23.920637,22.428965,21.216925,21.125132,20.656155,26.557053,21.624153,20.333445,20.156687,19.306288
1.50880453,0.1705726,23.054768,22.363323,21.329439,21.1024,20.682919,23.651257,22.428246,21.220581,21.127096,20.643301,22.533794,21.774647,20.627962,20.411646,19.873781
1.50882448,0.16975332,24.409559,23.876173,22.858843,22.063246,21.86717,25.371416,23.569408,22.035641,21.691317,21.080156,26.485598,25.023115,22.216194,21.555607,21.26338
1.5103849,0.04167573,23.255857,22.84067,22.432714,22.671989,22.751471,24.060619,23.147057,22.524439,22.759418,22.766499,24.597591,22.746202,22.69788,22.844433,22.60833
1.50801695,0.19500258,23.626719,23.893181,24.221924,22.010529,22.529217,24.987003,23.830853,24.440529,22.435266,22.021563,23.973202,23.445944,24.134737,22.35564,22.692492
1.51011084,0.11066452,24.477383,23.779402,22.869455,21.898991,20.94165,24.187202,24.14049,23.246149,22.616598,20.742868,23.6173,23.745184,22.878716,22.434692,20.375868
1.51116098,0.04666839,23.765413,23.710459,22.81535,23.248327,21.347746,24.200222,23.537722,22.520876,22.921858,21.670364,24.632681,22.64996,22.491234,22.451181,20.280952
1.51093693,0.41670724,23.378195,21.996429,20.525711,19.562044,18.937645,23.318764,22.385569,20.85528,19.90617,19.322527,22.519409,22.208971,20.538424,19.61964,19.03017
1.50834284,0.45192958,24.690466,24.043995,22.799648,25.564854,23.078737,24.459831,24.210293,23.907547,25.25227,22.442291,23.838871,24.003366,23.95738,25.069723,22.82234
1.50994113,0.45192113,24.947479,24.829271,22.396353,24.817829,22.640707,24.519762,24.989496,23.569403,25.795568,22.837133,24.876455,25.631025,23.221636,25.558567,22.779753
1.51153132,0.48548707,22.809305,23.337984,22.558805,22.496737,21.915617,23.196903,23.557499,22.97677,22.640303,22.437038,23.278454,23.371277,22.877275,22.459023,22.780756
1.51254312,0.32435155,25.17326,24.644352,24.909073,21.939169,23.424442,23.837587,25.223629,25.164724,22.601912,22.559729,23.852961,25.379047,25.443733,22.455971,21.757145
1.50249271,0.23914497,21.589359,21.448851,21.540859,21.966274,21.992308,21.970385,21.739925,21.821751,22.247252,21.296341,21.873894,21.435972,21.643366,22.25526,20.595051
1.50026355,0.32539179,23.927851,22.759087,22.112741,21.863857,21.68815,24.038155,22.835117,22.298811,21.862556,21.441465,24.128962,22.376404,22.102167,21.610264,20.185135
1.50114229,0.41790265,22.678167,21.769848,20.747156,20.259604,19.82016,22.85309,21.540869,20.52113,20.024765,19.519291,20.953573,20.58357,19.564571,19.139956,18.488569
1.50048318,0.32881121,23.536879,23.316345,23.49276,22.52891,21.192364,24.183496,23.447569,23.532177,22.924793,21.108408,25.797583,26.242979,26.703152,24.148375,21.790977
1.50128109,0.22215249,23.079159,22.162556,21.646692,21.37155,20.725559,22.795998,22.408691,21.735445,21.515516,21.054289,21.882935,21.51335,21.176434,20.771873,20.106356
1.5013831,0.37565859,24.151627,23.329718,23.46524,23.455328,20.945097,24.350456,23.768559,23.860104,23.622074,21.278069,24.317331,23.756519,24.11545,23.219297,21.335289
1.50205151,0.25478395,23.559263,22.966608,22.609406,22.911879,21.527678,23.509834,23.275505,22.891996,22.687244,21.711662,22.960848,22.860659,22.405264,21.87528,21.089859
1.5022835,0.39102032,23.77836,23.237633,22.17775,22.232838,21.787661,23.177267,23.462559,22.578672,22.343172,22.157623,22.423811,23.423431,22.041458,21.698399,21.207102
1.50264902,0.31017099,22.815329,22.955782,22.212654,21.781466,21.541851,23.29129,23.137451,22.280096,21.953548,21.170092,24.877369,23.467966,21.887684,21.228838,20.19029
1.50331729,0.27846761,24.504652,22.336966,20.750227,20.25919,19.801647,24.413656,22.39439,20.98027,20.456326,19.906876,23.580931,22.133667,20.555101,20.144762,19.380014
1.50331729,0.27846761,24.504654,22.326077,20.749371,20.257858,19.798904,24.451979,22.382153,20.975763,20.457317,19.905735,22.924459,22.12587,20.542768,20.143459,19.355297
1.50211426,0.27977243,24.16548,23.282705,23.159691,22.400299,21.195637,24.627573,23.267736,23.03829,22.17548,21.43828,25.75757,22.664829,22.659378,21.545393,20.602741
