ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.05270209,0.64221528,21.431007,18.776585,17.377865,16.373621,15.814407,21.689135,19.059843,17.74292,16.708521,16.134102,15.054751,14.284456,14.008054,13.473844,12.457087
1.05620732,0.64671053,15.204752,13.346616,12.581126,12.310718,12.860111,15.543472,13.55829,12.7559,12.483356,13.360821,15.202494,13.34833,12.583397,12.31352,12.863605
1.05620734,0.64671053,15.204642,13.346615,12.581668,12.310972,12.8601,15.54423,15.143305,15.491253,14.78272,13.354586,15.204353,13.348228,12.583752,12.313616,12.862972
1.05268797,0.64220919,21.411985,18.774042,17.378515,16.373014,15.817774,21.673344,19.062195,17.742397,16.710342,16.139154,21.347733,18.758518,17.410625,16.381922,15.831945
1.05313319,0.64576885,24.721689,20.887367,19.427055,18.480795,17.812872,24.590336,21.009022,19.710602,18.656734,18.146326,22.736917,20.55233,19.319025,18.330204,17.765408
1.05722105,0.63994282,21.947968,20.629976,19.265572,18.892414,18.588383,21.887724,20.499531,19.373417,18.849924,18.443844,20.739635,19.69175,18.59449,18.05908,17.787529
1.05604733,0.64946794,23.130497,24.791311,23.658377,24.352789,20.839962,23.470938,22.414341,21.344772,20.97382,20.60006,22.763781,23.53964,23.714834,24.273207,20.111406
1.05666576,0.64311539,24.260225,22.762787,23.966122,22.315039,21.659489,24.184284,22.421207,22.183826,21.156992,21.226648,23.384672,21.70368,22.780663,21.456238,20.547529
1.05527084,0.65236421,23.474659,25.301188,22.736376,22.22464,22.183128,24.071342,24.248209,22.734785,22.428583,21.74831,22.576992,23.544043,21.881229,22.30637,21.992447
1.05722649,0.65038453,24.281281,24.889244,23.940512,22.467218,22.926052,25.250731,24.253305,23.449316,21.950026,23.132898,26.500534,23.476728,22.784887,21.273272,22.503126
1.05214987,0.65005836,23.557587,24.767885,23.787603,22.415955,22.781614,23.668756,24.50716,24.567429,22.21611,23.155306,23.164175,23.67214,25.498018,21.170015,23.688604
1.0569484,0.84289282,18.062099,16.843185,16.285618,16.094475,16.001219,18.396183,17.135048,16.659552,16.445307,16.356686,18.066313,16.821358,16.34383,16.139502,16.046402
1.05693449,0.84289246,18.060921,16.843178,16.2854,16.094318,16.003412,18.394215,17.134979,16.659206,16.444996,16.363298,18.083733,16.821836,16.343931,16.138618,16.067814
1.05265207,0.76760376,21.377573,20.257233,19.760309,19.583179,19.52844,21.727152,20.508188,20.112648,19.917706,19.901325,19.944328,19.43671,18.906549,18.811052,22.815887
1.05264932,0.76761059,21.399044,20.285545,19.806074,19.583977,19.527105,21.697372,20.509001,20.112816,19.918646,19.88855,21.256248,20.263569,19.916004,19.59622,19.689856
1.05266063,0.76620333,21.496735,20.88336,20.634706,20.652468,20.761003,21.656288,20.753963,20.651552,20.46813,20.64986,20.811749,19.741003,19.461239,19.366314,20.385227
1.05259289,0.76387496,23.433727,23.99066,22.580854,21.826017,21.771063,24.2777,23.856781,22.737364,22.267056,22.15785,21.156866,22.482065,21.909647,21.034706,28.696154
1.05429357,0.66879203,22.099377,20.616186,19.201286,18.849403,18.523558,22.242186,20.492765,19.30929,18.819239,18.43667,20.405951,19.182936,18.095955,17.586596,17.193935
1.05667981,0.77957913,20.217289,18.45116,17.301327,16.995804,16.734222,20.258053,18.325258,17.376629,16.923285,16.563234,18.775106,16.977251,16.066853,15.645597,15.16088
1.05666699,0.77957741,20.210865,18.451977,17.301113,16.995749,16.739025,20.256393,18.32662,17.376566,16.923256,16.57349,18.801981,16.993732,16.065388,15.642272,15.313263
1.05666699,0.77957741,20.208416,18.452129,17.300322,16.995741,16.739336,20.251631,18.326651,17.375956,16.923929,16.573318,18.815271,16.998718,16.069036,15.647845,15.32194
1.05716823,0.7758745,24.127171,23.06142,22.148321,21.70969,21.630884,23.856106,23.098673,22.079805,21.766973,21.5334,24.17288,22.341446,21.113478,20.811163,21.263151
1.05235407,0.78294699,26.039696,25.114071,24.244076,22.256742,22.468843,25.181398,24.879797,23.777504,22.353174,22.43627,24.771709,23.539648,22.61916,21.478161,21.64584
1.05709717,0.67072846,22.376432,20.360538,18.884262,18.484146,18.194431,22.452461,20.26786,18.995228,18.45005,18.084944,21.504982,19.338593,18.035955,17.550032,17.113365
1.05309962,0.67181046,23.475737,21.240715,19.67618,18.587915,17.946274,23.509378,21.559645,20.03092,18.947529,18.302622,22.436087,21.255306,19.620066,18.615299,18.006889
1.05427268,0.81076927,22.710535,21.18964,19.602415,18.273886,17.580193,23.311867,21.479719,19.966787,18.635838,17.933825,23.217888,21.108624,19.66025,18.334097,17.64776
1.05671009,0.82050113,23.19401,21.065567,19.673237,19.07873,18.668066,23.459648,21.354794,20.044359,19.43726,19.049665,23.189371,21.029335,19.716358,19.160734,18.763412
