ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.02120071,0.32913208,23.168314,25.126394,23.84589,21.92944,21.465374,24.143932,24.808464,24.055618,22.177423,21.108513,23.729568,25.190769,24.820772,21.857367,20.453102
1.02088426,0.24527461,24.475845,23.966553,22.707363,22.003605,21.12818,23.974129,24.040581,23.174883,22.192011,21.327692,23.507984,24.466631,23.340309,22.09226,20.9657
1.02067574,0.2108353,24.019278,23.447817,22.252924,21.490158,21.543489,24.347902,23.513332,22.746452,21.651775,21.754793,24.003681,22.874599,22.377199,21.392477,21.89579
1.0208178,0.29276147,25.260315,23.87355,21.842133,20.939207,20.462904,24.539213,24.143143,22.000769,21.149885,20.902494,24.63759,22.885153,21.528959,21.013607,29.173481
1.02142896,0.31466441,25.300018,24.709076,22.666273,24.594755,22.711096,25.009172,24.285936,23.227457,24.2458,21.867239,24.336262,23.945351,23.362179,23.557825,21.466581
1.02074733,0.32232804,25.916584,24.081295,24.466002,24.554903,20.616978,25.430815,24.515711,23.896093,23.692606,20.964771,25.379173,24.5903,23.326948,23.146055,21.114111
1.02123636,0.19907541,22.837149,22.056711,21.38599,21.063087,20.39036,23.57056,22.135313,21.358698,21.0889,20.568295,22.589935,21.798285,20.890362,20.518017,19.468525
1.02104256,0.1982228,23.908598,23.847429,22.31522,22.596571,21.113863,24.181669,23.351358,22.152699,22.185349,21.501226,21.657684,24.054825,21.728458,23.921831,24.054659
1.01438814,0.43978182,22.527243,19.803154,18.388659,17.708174,17.282598,22.695724,20.164896,18.737432,18.054819,17.617836,22.262053,19.87323,18.447294,17.763454,17.326645
1.01925011,0.19994187,24.597208,23.269423,21.726578,20.178774,19.292112,24.130049,23.332642,22.129463,20.494234,19.496103,24.751482,23.236687,21.937206,20.264158,19.144915
1.02055231,0.20071728,21.338215,18.991333,17.57789,16.178436,15.516763,21.744371,19.342892,17.917555,16.551216,15.840665,21.587374,19.074511,17.621248,16.260733,15.545979
1.02055231,0.20071728,21.341673,18.991001,17.578381,16.17849,15.517219,21.758274,19.344105,17.917965,16.551014,15.841097,21.795753,19.070108,17.620228,16.260206,15.545424
1.0205584,0.20072228,21.4529,18.990856,17.577909,16.178907,15.517181,21.769358,19.344225,17.917015,16.551973,15.841441,21.786972,19.056671,17.6168,16.260315,15.542896
1.0189094,0.03102303,24.279297,23.471489,22.057247,21.367476,21.37232,23.182686,23.239933,22.012613,21.332506,21.390724,21.402,24.921806,21.665865,21.18523,21.007568
1.01811679,0.03004977,19.620218,18.147285,17.574509,17.379921,17.221754,19.979052,18.48436,17.925512,17.725971,17.584822,19.742365,18.208349,17.636763,17.436768,17.297636
1.01811679,0.03004977,19.621832,18.147278,17.574526,17.380146,17.221548,19.987812,18.483246,17.925787,17.725166,17.581898,19.730343,18.207777,17.637571,17.437748,17.295643
1.01812199,0.03005657,19.625025,18.147524,17.573893,17.381203,17.2215,19.993233,18.485231,17.923468,17.72748,17.585506,19.716997,18.202377,17.632523,17.43717,17.285238
1.01497708,0.03621927,21.250734,20.263203,19.985188,19.970997,20.123646,21.647858,20.577232,20.343019,20.355253,20.346678,21.189169,20.26195,20.050503,20.104845,20.033052
1.0147984,0.31029932,23.74411,23.801294,23.178167,22.539974,21.458494,23.226494,23.352037,23.085571,22.182297,21.326902,21.911816,22.342627,22.258244,21.546221,19.380846
